text,label
"Earn ₹5000 daily from home without any skills, instant joining",1
"Work from home job, no experience needed, earn fast money",1
"Click this link to start earning today, limited seats available",1
"No interview required, guaranteed job offer today",1
"Part-time job with high salary, no qualification needed",1
"Earn money online easily, just register and start working",1
"Urgent hiring, pay registration fee to get job confirmation",1
"Get job instantly, no background check required",1
"Make money fast with simple work, no experience required",1
"Work 1 hour daily and earn ₹3000 easily",1
"Registration fee required before joining, limited slots",1
"Easy typing job from home, earn daily payments",1
"Data entry job, no verification required, instant payment",1
"Earn dollars by clicking ads, no investment required",1
"Guaranteed placement after paying small joining fee",1
"International company hiring remote workers, no interview needed",1
"Send your bank details to receive salary advance",1
"Job offer without resume or experience, apply now",1
"High income job, no skills needed, quick hiring",1
"Get job confirmation within minutes, no process required",1

"Software engineer required with 2+ years experience in Python",0
"Looking for data analyst with strong SQL and Excel skills",0
"Company hiring frontend developer with React experience",0
"Apply for internship in AI and machine learning",0
"Hiring backend developer with knowledge of Django and APIs",0
"Opening for full stack developer with MERN stack experience",0
"Seeking experienced project manager with Agile methodology knowledge",0
"Looking for marketing executive with communication skills",0
"Hiring HR executive with recruitment experience",0
"Vacancy for accountant with Tally and GST knowledge",0
"Company looking for UI/UX designer with portfolio",0
"Software testing role with automation experience required",0
"Hiring cloud engineer with AWS knowledge",0
"Looking for content writer with SEO skills",0
"Internship opportunity in data science domain",0
"Opening for business analyst with analytical skills",0
"Hiring mobile app developer with Flutter experience",0
"Looking for DevOps engineer with CI/CD experience",0
"Vacancy for sales executive with field experience",0
"Hiring cybersecurity analyst with network security knowledge",0

"Remote internship for Python developer, stipend provided",0
"Looking for fresher candidates for trainee software engineer role",0
"Hiring customer support executive for night shift",0
"Company offering internship in digital marketing",0
"Opening for junior developer with basic coding knowledge",0
"Job opportunity in fintech company for data engineer",0
"Hiring graphic designer with Adobe tools experience",0
"Looking for business development associate",0
"Hiring operations manager with logistics experience",0
"Opening for AI engineer with machine learning skills",0
